issue_id,severity,issue_code,source_workbook,source_sheet,source_row,source_identifier,affected_entity_type,affected_entity_identifier,field_name,source_value,conflicting_values,related_source_rows,current_proposed_action,allowed_resolution_actions,resolution_status,resolution_value,resolution_reason,resolved_by,resolved_at
018f8ffc-e36a-5a45-96a7-9c53aa774457,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,2,5620040010,Part,WORM GEAR,Part Name/Description,WORM GEAR,[],"[2, 5, 6, 7, 8, 9, 10]",Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
066e0908-5be3-5f00-844d-ce32eb432e44,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,3,5116950010,Part,"WASHER, 29MM",Part Name/Description,"WASHER, 29MM",[],"[3, 11]",Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
2edd98fa-16ed-5328-b383-5843fd9dc77b,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,4,5116830010,Part,PRINTED BODY,Part Name/Description,PRINTED BODY,[],"[4, 12]",Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
ddbe1322-e0da-58d6-ac2e-bbfcde4b31ca,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,13,5620030010,Part,POPPET,Part Name/Description,POPPET,[],"[13, 17, 18, 19, 20, 21, 22, 23, 24]",Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
31db9151-2a19-5dab-9b56-e6c23265c936,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,14,6200360010,Part,LEVER STOPCOCK,Part Name/Description,LEVER STOPCOCK,[],[14],Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
d54ea543-1d03-53ab-813e-9f6edbeddb18,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,15,7130080010,Part,TOP CAP,Part Name/Description,TOP CAP,[],[15],Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
9fdfb4ad-793b-56a8-9212-0edabe9fa773,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,16,5111970020,Part,KNIFE BLOCK,Part Name/Description,KNIFE BLOCK,[],"[16, 25]",Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
2e052cd0-04a8-5865-b15e-6f96fcc376a3,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,26,5116701010,Part,HANDLE GREY,Part Name/Description,HANDLE GREY,[],"[26, 36, 37]",Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
a8c5a8c6-0910-5019-b9e4-bfe4192bf620,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,27,6250040080,Part,SKIRT,Part Name/Description,SKIRT,[],"[27, 40]",Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
71671bb5-e568-58df-88e3-348390b4c3b3,WARNING,POSSIBLE_PART_NOT_CONFIRMED,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,28,5111891020,Part,CARTRIDGE SHROUD,Part Name/Description,CARTRIDGE SHROUD,[],[28],Preserve the candidate; do not create a part or tool-part relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",DEFERRED,,,,
